iter	RMSE
0	0.454030752
1	0.4453269748
2	0.436641172
3	0.426268146
4	0.4162825647
5	0.4066605489
6	0.3968680415
7	0.3876607421
8	0.3791408444
9	0.3707011143
10	0.3621571227
11	0.3543849756
12	0.3458439551
13	0.3380206827
14	0.3303182377
15	0.3229256151
16	0.3162708766
17	0.3094824462
18	0.3031544633
19	0.2966044021
20	0.2899673091
21	0.2846860749
22	0.278347206
23	0.2725321344
24	0.2669779327
25	0.2615400598
26	0.2563085795
27	0.2510903912
28	0.2463379808
29	0.2411788992
30	0.236490241
31	0.2318679463
32	0.2278305949
33	0.2233508424
34	0.2189134288
35	0.2147641699
36	0.2109532969
37	0.2071888245
38	0.2036984567
39	0.1998236039
40	0.1963523275
41	0.1931963116
42	0.1898661022
43	0.1865019018
44	0.1834862878
45	0.1802924989
46	0.1776572452
47	0.1746147603
48	0.1719038543
49	0.1690202431
50	0.1665412909
51	0.1640124898
52	0.1617218574
53	0.1594081428
54	0.1571109593
55	0.1547375537
56	0.1526104012
57	0.1502931045
58	0.1480117899
59	0.1459468906
60	0.143981268
61	0.142044259
62	0.1400440703
63	0.138081714
64	0.1362237069
65	0.1346475059
66	0.1326903224
67	0.1309308332
68	0.1290897517
69	0.1272597252
70	0.1256355165
71	0.1240753733
72	0.1223364135
73	0.1209852596
74	0.1194376295
75	0.1179961331
76	0.1164769015
77	0.1152293084
78	0.1137970669
79	0.1124186453
80	0.1112469896
81	0.1099176659
82	0.1089125387
83	0.1077347726
84	0.1067139815
85	0.10561259
86	0.104576955
87	0.1034826691
88	0.1025018661
89	0.1015145401
90	0.1004966763
91	0.09959389414
92	0.09867563459
93	0.09779093879
94	0.09698542948
95	0.09615338684
96	0.09538469362
97	0.09469509952
98	0.09400148776
99	0.09325416786
100	0.09253875644
101	0.09185101867
102	0.09113857299
103	0.0904729533
104	0.08983612307
105	0.0892334071
106	0.08864091458
107	0.08801139647
108	0.08755245946
109	0.08695764706
110	0.08634469834
111	0.08578399015
112	0.08523794106
113	0.08469690559
114	0.08417918999
115	0.08366415097
116	0.08311902819
117	0.08263649003
118	0.08217087072
119	0.08173239071
120	0.08133465341
121	0.08099324673
122	0.08066271538
123	0.08025419027
124	0.08000314489
125	0.07958657512
126	0.07915324453
127	0.07882990903
128	0.07870791945
129	0.0783642524
130	0.07788750078
131	0.0775157963
132	0.07729846017
133	0.07700294173
134	0.07643275315
135	0.07611850053
136	0.07576328814
137	0.07548647706
138	0.07523066328
139	0.07477873874
140	0.07451534303
141	0.07422594309
142	0.07395171662
143	0.07372380794
144	0.07365353498
145	0.07336895407
146	0.07303393231
147	0.07264718727
148	0.07239703669
149	0.07216603224
150	0.0719152942
151	0.07170064315
152	0.07140892298
153	0.07122493414
154	0.07104423848
155	0.07072129083
156	0.07047931734
157	0.07029030493
158	0.06999191884
159	0.06980720563
160	0.06949969005
161	0.06939506291
162	0.0691646891
163	0.06897540908
164	0.06884445742
165	0.06867502061
166	0.06854416472
167	0.06838477043
168	0.06822142752
169	0.06809059252
170	0.06795685599
171	0.06775882969
172	0.06756847625
173	0.06748059022
174	0.06717949972
175	0.06703441591
176	0.06678021196
177	0.06668145559
178	0.06655924535
179	0.06638747376
180	0.06619352923
181	0.06604642522
